n1,n2,n3,n4,total_tasks,seed,cmax_2B_basic,energy_2B_basic,cmax_3B_basic,energy_3B_basic,calc_time_basic_s
1,1,1,1,4,0,1900.0,7230.0,1020.0,7631.0,2.963583
1,1,1,1,4,1,1977.0,8195.0,1157.0,8625.0,0.18334
1,1,1,1,4,2,1715.0,8620.0,1256.0,9079.0,0.179282
1,1,1,2,5,0,2492.0,11812.0,1624.0,12285.0,0.436957
1,1,1,2,5,1,2520.0,12245.0,1700.0,12766.0,0.424788
1,1,1,2,5,2,2159.0,12172.0,1700.0,12683.0,0.418165
1,1,2,1,5,0,2529.0,10245.0,1655.0,10682.0,0.369122
1,1,2,1,5,1,2498.0,10001.0,1733.0,10426.0,0.432202
1,1,2,1,5,2,1996.0,9286.0,1552.0,9739.0,0.320885
1,2,1,1,5,0,2405.0,9089.0,1500.0,9491.0,0.393662
1,2,1,1,5,1,2351.0,8754.0,1454.0,9166.0,0.358193
1,2,1,1,5,2,1725.0,7360.0,1207.0,7766.0,0.298204
2,1,1,1,5,0,2094.0,8661.0,1385.0,9104.0,0.300804
2,1,1,1,5,1,2047.0,8262.0,1299.0,8738.0,0.309727
2,1,1,1,5,2,1725.0,7034.0,1226.0,7520.0,0.324806
1,1,2,2,6,0,3019.0,14178.0,2173.0,14696.0,2.442972
1,1,2,2,6,1,2923.0,13463.0,2158.0,13969.0,3.589505
1,1,2,2,6,2,2652.0,14286.0,2187.0,14815.0,2.473697
1,2,1,2,6,0,2923.0,13012.0,1720.0,13488.0,1.036235
1,2,1,2,6,1,2776.0,12216.0,1676.0,12679.0,1.132906
1,2,1,2,6,2,2369.0,12316.0,1606.0,12824.0,0.63072
2,1,1,2,6,0,2584.0,12601.0,1720.0,13101.0,0.788424
2,1,1,2,6,1,2472.0,11724.0,1676.0,12271.0,0.876273
2,1,1,2,6,2,2243.0,11163.0,1537.0,11750.0,1.067891
1,2,2,1,6,0,3078.0,11647.0,1995.0,12138.0,2.126141
1,2,2,1,6,1,2898.0,10843.0,1854.0,11297.0,2.101636
1,2,2,1,6,2,2423.0,10929.0,1677.0,11396.0,0.648564
2,1,2,1,6,0,2768.0,11219.0,1877.0,11696.0,0.982274
2,1,2,1,6,1,2594.0,10351.0,1798.0,10841.0,1.52375
2,1,2,1,6,2,2357.0,9824.0,1563.0,10306.0,0.757595
2,2,1,1,6,0,2268.0,9636.0,1623.0,10109.0,0.78418
2,2,1,1,6,1,1995.0,8129.0,1427.0,8541.0,0.745941
2,2,1,1,6,2,1970.0,8709.0,1466.0,9131.0,0.509679
1,2,2,2,7,0,3627.0,15724.0,2426.0,16230.0,22.026665
1,2,2,2,7,1,3323.0,14305.0,2223.0,14810.0,18.89021
1,2,2,2,7,2,2952.0,15014.0,2206.0,15554.0,11.137688
2,1,2,2,7,0,3296.0,15302.0,2426.0,15843.0,21.461441
2,1,2,2,7,1,3019.0,13813.0,2223.0,14394.0,18.352472
2,1,2,2,7,2,2931.0,14721.0,2237.0,15384.0,17.519912
2,2,1,2,7,0,2797.0,13709.0,1890.0,14303.0,3.659506
2,2,1,2,7,1,2499.0,12355.0,1697.0,12937.0,3.575269
2,2,1,2,7,2,2619.0,13575.0,1795.0,14122.0,2.452276
2,2,2,1,7,0,2721.0,11133.0,1851.0,11673.0,3.648473
2,2,2,1,7,1,2500.0,10196.0,1694.0,10655.0,3.758952
2,2,2,1,7,2,2496.0,10740.0,1702.0,11256.0,3.486822
2,2,2,2,8,0,3265.0,15303.0,2366.0,15892.0,66.801534
2,2,2,2,8,1,3085.0,15077.0,2279.0,15675.0,66.921405
2,2,2,2,8,2,3025.0,14825.0,2201.0,15398.0,53.003249
