n1,n2,n3,n4,total_tasks,seed,cmax_2B_optimized,energy_2B_optimized,cmax_3B_optimized,energy_3B_optimized,calc_time_optimized_s
1,1,1,1,4,0,1900.0,7230.0,1020.0,7631.0,0.020882
1,1,1,1,4,1,1977.0,8195.0,1157.0,8625.0,0.017211
1,1,1,1,4,2,1715.0,8620.0,1256.0,9079.0,0.015878
1,1,1,2,5,0,2492.0,11812.0,1624.0,12285.0,0.106972
1,1,1,2,5,1,2520.0,12245.0,1700.0,12766.0,0.149697
1,1,1,2,5,2,2159.0,12172.0,1700.0,12683.0,0.134747
1,1,2,1,5,0,2529.0,10245.0,1655.0,10682.0,0.122683
1,1,2,1,5,1,2498.0,10001.0,1733.0,10426.0,0.179616
1,1,2,1,5,2,1996.0,9286.0,1552.0,9739.0,0.106434
1,2,1,1,5,0,2405.0,9089.0,1500.0,9491.0,0.126542
1,2,1,1,5,1,2351.0,8754.0,1454.0,9166.0,0.127235
1,2,1,1,5,2,1725.0,7360.0,1207.0,7766.0,0.139933
2,1,1,1,5,0,2094.0,8661.0,1385.0,9104.0,0.122145
2,1,1,1,5,1,2047.0,8262.0,1299.0,8738.0,0.133251
2,1,1,1,5,2,1725.0,7034.0,1226.0,7520.0,0.137095
1,1,2,2,6,0,3019.0,14178.0,2173.0,14696.0,1.734011
1,1,2,2,6,1,2923.0,13463.0,2158.0,13969.0,1.923375
1,1,2,2,6,2,2652.0,14286.0,2187.0,14815.0,1.842071
1,2,1,2,6,0,2923.0,13012.0,1720.0,13488.0,0.54351
1,2,1,2,6,1,2776.0,12216.0,1676.0,12679.0,0.567156
1,2,1,2,6,2,2369.0,12316.0,1606.0,12824.0,0.675195
2,1,1,2,6,0,2584.0,12601.0,1720.0,13101.0,0.784094
2,1,1,2,6,1,2472.0,11724.0,1676.0,12271.0,0.807659
2,1,1,2,6,2,2243.0,11163.0,1537.0,11750.0,0.82866
1,2,2,1,6,0,3078.0,11647.0,1995.0,12138.0,0.761885
1,2,2,1,6,1,2898.0,10843.0,1854.0,11297.0,0.798453
1,2,2,1,6,2,2423.0,10929.0,1677.0,11396.0,0.734274
2,1,2,1,6,0,2768.0,11219.0,1877.0,11696.0,0.901661
2,1,2,1,6,1,2594.0,10351.0,1798.0,10841.0,0.977223
2,1,2,1,6,2,2357.0,9824.0,1563.0,10306.0,0.708251
2,2,1,1,6,0,2268.0,9636.0,1623.0,10109.0,0.582043
2,2,1,1,6,1,1995.0,8129.0,1427.0,8541.0,0.717336
2,2,1,1,6,2,1970.0,8709.0,1466.0,9131.0,0.614348
1,2,2,2,7,0,3627.0,15724.0,2426.0,16230.0,12.224798
1,2,2,2,7,1,3323.0,14305.0,2223.0,14810.0,7.974353
1,2,2,2,7,2,2952.0,15014.0,2206.0,15554.0,32.110324
2,1,2,2,7,0,3296.0,15302.0,2426.0,15843.0,60.526577
2,1,2,2,7,1,3019.0,13813.0,2223.0,14394.0,46.856544
