n1,n2,n3,n4,total_tasks,seed,cmax_2B_optimal,energy_2B_optimal,cmax_2B_optimized_heuristic,energy_2B_optimized_heuristic,cmax_gap_2B_pct,energy_gap_2B_pct,is_optimal_2B,cmax_3B_optimal,energy_3B_optimal,cmax_3B_optimized_heuristic,energy_3B_optimized_heuristic,cmax_gap_3B_pct,energy_gap_3B_pct,is_optimal_3B,calc_time_optimized_heuristic_s
1,1,1,1,4,0,1900.0,7230.0,1900.0,7230.0,0.0,0.0,yes,1020.0,7631.0,1020.0,7631.0,0.0,0.0,yes,0.197337
1,1,1,1,4,1,1977.0,8195.0,1977.0,8195.0,0.0,0.0,yes,1157.0,8625.0,1157.0,8625.0,0.0,0.0,yes,0.192731
1,1,1,1,4,2,1715.0,8620.0,1715.0,8620.0,0.0,0.0,yes,1256.0,9079.0,1256.0,9079.0,0.0,0.0,yes,0.188013
1,1,1,2,5,0,2492.0,11812.0,2492.0,11812.0,0.0,0.0,yes,1624.0,12285.0,1624.0,12285.0,0.0,0.0,yes,0.231712
1,1,1,2,5,1,2520.0,12245.0,2520.0,12245.0,0.0,0.0,yes,1700.0,12766.0,1700.0,12766.0,0.0,0.0,yes,0.244234
1,1,1,2,5,2,2159.0,12172.0,2159.0,12172.0,0.0,0.0,yes,1700.0,12683.0,1700.0,12683.0,0.0,0.0,yes,0.231728
1,1,2,1,5,0,2529.0,10245.0,2529.0,10245.0,0.0,0.0,yes,1655.0,10682.0,1655.0,10702.0,0.0,0.1872,no,0.28561
1,1,2,1,5,1,2498.0,10001.0,2498.0,10001.0,0.0,0.0,yes,1733.0,10426.0,1733.0,10426.0,0.0,0.0,yes,0.222069
1,1,2,1,5,2,1996.0,9286.0,1996.0,9286.0,0.0,0.0,yes,1552.0,9739.0,1552.0,9739.0,0.0,0.0,yes,0.225332
1,2,1,1,5,0,2405.0,9089.0,2405.0,9089.0,0.0,0.0,yes,1500.0,9491.0,1500.0,9491.0,0.0,0.0,yes,0.298457
1,2,1,1,5,1,2351.0,8754.0,2351.0,8754.0,0.0,0.0,yes,1454.0,9166.0,1473.0,9160.0,1.3067,-0.0655,no,0.32666
1,2,1,1,5,2,1725.0,7360.0,1725.0,7360.0,0.0,0.0,yes,1207.0,7766.0,1240.0,7844.0,2.7341,1.0044,no,0.233033
2,1,1,1,5,0,2094.0,8661.0,2094.0,8661.0,0.0,0.0,yes,1385.0,9104.0,1385.0,9104.0,0.0,0.0,yes,0.256626
2,1,1,1,5,1,2047.0,8262.0,2047.0,8262.0,0.0,0.0,yes,1299.0,8738.0,1390.0,8782.0,7.0054,0.5035,no,0.283648
2,1,1,1,5,2,1725.0,7034.0,1725.0,7034.0,0.0,0.0,yes,1226.0,7520.0,1240.0,7560.0,1.1419,0.5319,no,0.237589
1,1,2,2,6,0,3019.0,14178.0,3019.0,14178.0,0.0,0.0,yes,2173.0,14696.0,2173.0,14696.0,0.0,0.0,yes,1.025309
1,1,2,2,6,1,2923.0,13463.0,2923.0,13463.0,0.0,0.0,yes,2158.0,13969.0,2158.0,13969.0,0.0,0.0,yes,1.031656
1,1,2,2,6,2,2652.0,14286.0,2652.0,14286.0,0.0,0.0,yes,2187.0,14815.0,2187.0,14815.0,0.0,0.0,yes,1.027079
1,2,1,2,6,0,2923.0,13012.0,2923.0,13012.0,0.0,0.0,yes,1720.0,13488.0,1720.0,13491.0,0.0,0.0222,no,1.076862
1,2,1,2,6,1,2776.0,12216.0,2776.0,12216.0,0.0,0.0,yes,1676.0,12679.0,1676.0,12679.0,0.0,0.0,yes,1.06535
1,2,1,2,6,2,2369.0,12316.0,2369.0,12316.0,0.0,0.0,yes,1606.0,12824.0,1633.0,12846.0,1.6812,0.1716,no,1.045495
2,1,1,2,6,0,2584.0,12601.0,2584.0,12601.0,0.0,0.0,yes,1720.0,13101.0,1750.0,13159.0,1.7442,0.4427,no,1.036722
2,1,1,2,6,1,2472.0,11724.0,2472.0,11724.0,0.0,0.0,yes,1676.0,12271.0,1676.0,12271.0,0.0,0.0,yes,1.06681
2,1,1,2,6,2,2243.0,11163.0,2243.0,11163.0,0.0,0.0,yes,1537.0,11750.0,1537.0,11756.0,0.0,0.0511,no,1.031654
1,2,2,1,6,0,3078.0,11647.0,3091.0,11595.0,0.4224,-0.4465,no,1995.0,12138.0,1995.0,12138.0,0.0,0.0,yes,1.032823
1,2,2,1,6,1,2898.0,10843.0,2898.0,10843.0,0.0,0.0,yes,1854.0,11297.0,1854.0,11297.0,0.0,0.0,yes,1.061156
1,2,2,1,6,2,2423.0,10929.0,2423.0,10929.0,0.0,0.0,yes,1677.0,11396.0,1677.0,11396.0,0.0,0.0,yes,1.032775
2,1,2,1,6,0,2768.0,11219.0,2768.0,11219.0,0.0,0.0,yes,1877.0,11696.0,1877.0,11719.0,0.0,0.1966,no,1.085067
2,1,2,1,6,1,2594.0,10351.0,2594.0,10351.0,0.0,0.0,yes,1798.0,10841.0,1798.0,10843.0,0.0,0.0184,no,1.03426
