n1,n2,n3,n4,total_tasks,seed,cmax_2B_optimized_warmstart,energy_2B_optimized_warmstart,heuristic_initial_cmax_2B,heuristic_initial_energy_2B,nodes_visited_2B,nodes_pruned_2B,cmax_3B_optimized_warmstart,energy_3B_optimized_warmstart,heuristic_initial_cmax_3B,heuristic_initial_energy_3B,nodes_visited_3B,nodes_pruned_3B,calc_time_optimized_warmstart_s
1,1,1,1,4,0,1900.0,7230.0,1900.0,7230.0,107,70,1020.0,7631.0,1020.0,7631.0,62,47,0.040463
1,1,1,1,4,1,1977.0,8195.0,1977.0,8195.0,106,71,1157.0,8625.0,1157.0,8625.0,112,78,0.038552
1,1,1,1,4,2,1715.0,8620.0,1715.0,8620.0,44,31,1256.0,9079.0,1256.0,9079.0,143,112,0.035707
1,1,1,2,5,0,2492.0,11812.0,2492.0,11812.0,528,349,1624.0,12285.0,1624.0,12322.0,993,795,0.180718
1,1,1,2,5,1,2520.0,12245.0,2520.0,12245.0,513,340,1700.0,12766.0,1700.0,12766.0,1421,1154,0.217607
1,1,1,2,5,2,2159.0,12172.0,2159.0,12172.0,119,85,1700.0,12683.0,1700.0,12722.0,1334,1094,0.181438
1,1,2,1,5,0,2529.0,10245.0,2529.0,10245.0,522,348,1655.0,10682.0,1655.0,10702.0,1031,830,0.182719
1,1,2,1,5,1,2498.0,10001.0,2498.0,10001.0,518,345,1733.0,10426.0,1733.0,10426.0,1575,1280,0.215085
1,1,2,1,5,2,1996.0,9286.0,1996.0,9286.0,186,136,1552.0,9739.0,1552.0,9739.0,948,773,0.16569
1,2,1,1,5,0,2405.0,9089.0,2405.0,9089.0,731,518,1500.0,9491.0,1500.0,9491.0,957,732,0.178293
1,2,1,1,5,1,2351.0,8754.0,2351.0,8754.0,725,515,1454.0,9166.0,1454.0,9166.0,964,744,0.192697
1,2,1,1,5,2,1725.0,7360.0,1725.0,7360.0,386,280,1207.0,7766.0,1240.0,7844.0,1305,990,0.164601
2,1,1,1,5,0,2094.0,8661.0,2094.0,8661.0,361,269,1385.0,9104.0,1385.0,9104.0,1101,831,0.182051
2,1,1,1,5,1,2047.0,8262.0,2047.0,8262.0,412,301,1299.0,8738.0,1390.0,8782.0,988,743,0.156897
2,1,1,1,5,2,1725.0,7034.0,1725.0,7034.0,380,277,1226.0,7520.0,1240.0,7560.0,1308,999,0.177248
1,1,2,2,6,0,3019.0,14178.0,3042.0,14195.0,2422,1632,2173.0,14696.0,2212.0,14732.0,15961,13141,1.78856
1,1,2,2,6,1,2923.0,13463.0,2923.0,13463.0,2456,1656,2158.0,13969.0,2184.0,13998.0,18169,14979,2.173473
1,1,2,2,6,2,2652.0,14286.0,2652.0,14286.0,376,273,2187.0,14815.0,2226.0,14817.0,17237,14459,2.035755
1,2,1,2,6,0,2923.0,13012.0,2942.0,12981.0,3720,2632,1720.0,13488.0,1720.0,13491.0,3342,2767,0.650808
1,2,1,2,6,1,2776.0,12216.0,2776.0,12216.0,3437,2442,1676.0,12679.0,1676.0,12679.0,3564,2917,0.710203
1,2,1,2,6,2,2369.0,12316.0,2377.0,12339.0,1775,1288,1606.0,12824.0,1914.0,12945.0,5495,4537,0.752092
2,1,1,2,6,0,2584.0,12601.0,2584.0,12601.0,1494,1095,1720.0,13101.0,1759.0,13138.0,6639,5474,0.852287
2,1,1,2,6,1,2472.0,11724.0,2472.0,11724.0,1747,1284,1676.0,12271.0,1676.0,12271.0,6808,5584,0.885164
2,1,1,2,6,2,2243.0,11163.0,2243.0,11163.0,1696,1233,1537.0,11750.0,1773.0,11783.0,7417,6019,0.900367
1,2,2,1,6,0,3078.0,11647.0,3108.0,11645.0,3358,2380,1995.0,12138.0,1995.0,12138.0,6416,5449,1.004406
1,2,2,1,6,1,2898.0,10843.0,2898.0,10843.0,3354,2376,1854.0,11297.0,1854.0,11297.0,6372,5412,0.980262
1,2,2,1,6,2,2423.0,10929.0,2423.0,10929.0,1368,996,1677.0,11396.0,1914.0,11499.0,6075,5012,0.78796
2,1,2,1,6,0,2768.0,11219.0,2768.0,11219.0,1793,1320,1877.0,11696.0,1920.0,11736.0,6952,5760,0.969742
