counts_code,n1,n2,n3,n4,total_tasks,scenario_type,seed_count,seeds_used,mean_cmax_2B,mean_cmax_3B,mean_energy_2B,mean_energy_3B,mean_eta_T_percent,mean_eta_E_percent,mean_lambda_star,recommend_time_only,recommend_energy_only,S_lambda_0_5,recommend_lambda_0_5,S_lambda_1,recommend_lambda_1,S_lambda_2,recommend_lambda_2,S_lambda_3,recommend_lambda_3,S_lambda_4,recommend_lambda_4,S_lambda_5,recommend_lambda_5,S_lambda_6,recommend_lambda_6,S_lambda_8,recommend_lambda_8,S_lambda_10,recommend_lambda_10,S_lambda_12,recommend_lambda_12,S_lambda_15,recommend_lambda_15,S_lambda_20,recommend_lambda_20
1111,1,1,1,1,4,balanced,3,"0,1,2",1864.0,1144.33,4133.0,4430.0,38.19,7.18,5.36,recommend_3arm,recommend_2arm,34.6,recommend_3arm,31.01,recommend_3arm,23.83,recommend_3arm,16.66,recommend_3arm,9.48,recommend_3arm,2.31,recommend_3arm,-4.87,recommend_2arm,-19.22,recommend_2arm,-33.57,recommend_2arm,-47.93,recommend_2arm,-69.45,recommend_2arm,-105.33,recommend_2arm
1112,1,1,1,2,5,type4_dominant,3,"0,1,2",2390.33,1674.67,5615.0,5892.67,29.54,4.94,6.04,recommend_3arm,recommend_2arm,27.07,recommend_3arm,24.6,recommend_3arm,19.66,recommend_3arm,14.72,recommend_3arm,9.78,recommend_3arm,4.84,recommend_3arm,-0.1,recommend_2arm,-9.99,recommend_2arm,-19.87,recommend_2arm,-29.75,recommend_2arm,-44.57,recommend_2arm,-69.28,recommend_2arm
1121,1,1,2,1,5,dual_arm_dominant,3,"0,1,2",2341.0,1646.67,5189.0,5452.33,29.14,5.09,5.82,recommend_3arm,recommend_2arm,26.6,recommend_3arm,24.06,recommend_3arm,18.97,recommend_3arm,13.88,recommend_3arm,8.79,recommend_3arm,3.71,recommend_3arm,-1.38,recommend_2arm,-11.56,recommend_2arm,-21.73,recommend_2arm,-31.91,recommend_2arm,-47.17,recommend_2arm,-72.61,recommend_2arm
1122,1,1,2,2,6,dual_arm_dominant,3,"0,1,2",2864.67,2172.67,6699.67,6951.33,23.91,3.76,6.4,recommend_3arm,recommend_2arm,22.03,recommend_3arm,20.15,recommend_3arm,16.4,recommend_3arm,12.64,recommend_3arm,8.89,recommend_3arm,5.13,recommend_3arm,1.38,recommend_3arm,-6.13,recommend_2arm,-13.64,recommend_2arm,-21.16,recommend_2arm,-32.42,recommend_2arm,-51.2,recommend_2arm
1211,1,2,1,1,5,single_arm_dominant,3,"0,1,2",2160.33,1387.0,4490.67,4764.33,35.27,6.14,5.84,recommend_3arm,recommend_2arm,32.2,recommend_3arm,29.14,recommend_3arm,23.0,recommend_3arm,16.86,recommend_3arm,10.73,recommend_3arm,4.59,recommend_3arm,-1.54,recommend_2arm,-13.81,recommend_2arm,-26.08,recommend_2arm,-38.36,recommend_2arm,-56.76,recommend_2arm,-87.44,recommend_2arm
1212,1,2,1,2,6,mixed_balanced,3,"0,1,2",2689.33,1667.33,5983.33,6241.67,37.66,4.33,8.86,recommend_3arm,recommend_2arm,35.5,recommend_3arm,33.34,recommend_3arm,29.01,recommend_3arm,24.68,recommend_3arm,20.35,recommend_3arm,16.02,recommend_3arm,11.69,recommend_3arm,3.04,recommend_3arm,-5.62,recommend_2arm,-14.27,recommend_2arm,-27.26,recommend_2arm,-48.9,recommend_2arm
1221,1,2,2,1,6,mixed_balanced,3,"0,1,2",2799.67,1842.0,5904.33,6200.0,34.0,5.01,6.81,recommend_3arm,recommend_2arm,31.5,recommend_3arm,28.99,recommend_3arm,23.98,recommend_3arm,18.98,recommend_3arm,13.97,recommend_3arm,8.96,recommend_3arm,3.95,recommend_3arm,-6.06,recommend_2arm,-16.08,recommend_2arm,-26.1,recommend_2arm,-41.12,recommend_2arm,-66.16,recommend_2arm
1222,1,2,2,2,7,dual_arm_dominant,3,"0,1,2",3300.67,2285.0,7320.67,7571.67,30.5,3.44,9.02,recommend_3arm,recommend_2arm,28.78,recommend_3arm,27.06,recommend_3arm,23.62,recommend_3arm,20.19,recommend_3arm,16.75,recommend_3arm,13.31,recommend_3arm,9.88,recommend_3arm,3.0,recommend_3arm,-3.87,recommend_2arm,-10.74,recommend_2arm,-21.05,recommend_2arm,-38.24,recommend_2arm
2111,2,1,1,1,5,single_arm_dominant,3,"0,1,2",1955.33,1303.33,4258.67,4594.0,33.11,7.95,4.26,recommend_3arm,recommend_2arm,29.14,recommend_3arm,25.16,recommend_3arm,17.22,recommend_3arm,9.27,recommend_3arm,1.32,recommend_3arm,-6.62,recommend_2arm,-14.57,recommend_2arm,-30.46,recommend_2arm,-46.35,recommend_2arm,-62.24,recommend_2arm,-86.08,recommend_2arm,-125.81,recommend_2arm
2112,2,1,1,2,6,mixed_balanced,3,"0,1,2",2433.0,1644.33,5662.33,5983.0,32.37,5.71,5.84,recommend_3arm,recommend_2arm,29.52,recommend_3arm,26.66,recommend_3arm,20.96,recommend_3arm,15.25,recommend_3arm,9.54,recommend_3arm,3.83,recommend_3arm,-1.88,recommend_2arm,-13.29,recommend_2arm,-24.71,recommend_2arm,-36.12,recommend_2arm,-53.24,recommend_2arm,-81.78,recommend_2arm
2121,2,1,2,1,6,mixed_balanced,3,"0,1,2",2573.0,1746.0,5593.67,5901.67,32.19,5.52,5.85,recommend_3arm,recommend_2arm,29.43,recommend_3arm,26.67,recommend_3arm,21.14,recommend_3arm,15.62,recommend_3arm,10.1,recommend_3arm,4.58,recommend_3arm,-0.95,recommend_2arm,-11.99,recommend_2arm,-23.04,recommend_2arm,-34.08,recommend_2arm,-50.65,recommend_2arm,-78.26,recommend_2arm
2122,2,1,2,2,7,dual_arm_dominant,3,"0,1,2",3082.0,2295.33,7090.0,7419.0,25.48,4.66,5.68,recommend_3arm,recommend_2arm,23.15,recommend_3arm,20.82,recommend_3arm,16.16,recommend_3arm,11.49,recommend_3arm,6.83,recommend_3arm,2.17,recommend_3arm,-2.49,recommend_2arm,-11.82,recommend_2arm,-21.14,recommend_2arm,-30.47,recommend_2arm,-44.46,recommend_2arm,-67.77,recommend_2arm
2211,2,2,1,1,6,single_arm_dominant,3,"0,1,2",2077.67,1505.33,4805.33,5108.0,27.5,6.29,4.38,recommend_3arm,recommend_2arm,24.35,recommend_3arm,21.21,recommend_3arm,14.92,recommend_3arm,8.64,recommend_3arm,2.35,recommend_3arm,-3.94,recommend_2arm,-10.22,recommend_2arm,-22.8,recommend_2arm,-35.37,recommend_2arm,-47.95,recommend_2arm,-66.81,recommend_2arm,-98.24,recommend_2arm
2212,2,2,1,2,7,single_arm_dominant,3,"0,1,2",2638.33,1794.0,6397.33,6747.67,31.99,5.49,5.86,recommend_3arm,recommend_2arm,29.25,recommend_3arm,26.51,recommend_3arm,21.02,recommend_3arm,15.54,recommend_3arm,10.05,recommend_3arm,4.57,recommend_3arm,-0.92,recommend_2arm,-11.89,recommend_2arm,-22.86,recommend_2arm,-33.83,recommend_2arm,-50.28,recommend_2arm,-77.71,recommend_2arm
2221,2,2,2,1,7,single_arm_dominant,3,"0,1,2",2572.33,1749.0,5885.67,6215.67,32.01,5.6,5.76,recommend_3arm,recommend_2arm,29.21,recommend_3arm,26.41,recommend_3arm,20.82,recommend_3arm,15.22,recommend_3arm,9.62,recommend_3arm,4.03,recommend_3arm,-1.57,recommend_2arm,-12.76,recommend_2arm,-23.96,recommend_2arm,-35.15,recommend_2arm,-51.94,recommend_2arm,-79.92,recommend_2arm
2222,2,2,2,2,8,balanced,3,"0,1,2",3125.0,2282.0,7469.33,7790.0,26.97,4.29,6.29,recommend_3arm,recommend_2arm,24.82,recommend_3arm,22.67,recommend_3arm,18.38,recommend_3arm,14.09,recommend_3arm,9.79,recommend_3arm,5.5,recommend_3arm,1.21,recommend_3arm,-7.38,recommend_2arm,-15.97,recommend_2arm,-24.55,recommend_2arm,-37.43,recommend_2arm,-58.9,recommend_2arm
