counts_code,scenario_type,total_tasks,n1,n2,n3,n4,p1,p2,p3,p4,r,lambda,lambda_label,gamma,activation_cost_K,speed_preference,eta_T_percent,eta_E_percent,mean_score,std_score,risk_penalty,activation_cost_factor_phi,activation_penalty,final_integrated_score,final_recommendation,selected_mode,recommended_speed_multiplier,opt_speed_2arm,opt_speed_3arm,opt_obj_2arm,opt_obj_3arm,speed_objective_gain_3arm_vs_2arm_percent,sample_count,robust_data_source,model_note
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,0,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,0.0,35.5,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,2,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,2.12,33.38,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,4,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,4.24,31.26,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,6,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,6.36,29.14,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,8,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,8.47,27.02,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,10,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,10.59,24.91,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,12,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,12.71,22.79,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,15,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,15.89,19.61,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,20,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,21.19,14.31,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,0,25,efficiency_first,38.19,5.37,35.5,10.15,0.0,1.0594,26.48,9.02,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
