policy_name,policy_meaning,lambda,gamma,activation_cost_K,rank_by_final_score,counts_code,scenario_type,total_tasks,n1,n2,n3,n4,p1,p2,p3,p4,r,lambda_label,speed_preference,eta_T_percent,eta_E_percent,mean_score,std_score,risk_penalty,activation_cost_factor_phi,activation_penalty,final_integrated_score,final_recommendation,selected_mode,recommended_speed_multiplier,opt_speed_2arm,opt_speed_3arm,opt_obj_2arm,opt_obj_3arm,speed_objective_gain_3arm_vs_2arm_percent,sample_count,robust_data_source,model_note
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,1,1212,mixed_balanced,6,1,2,1,2,0.1667,0.3333,0.1667,0.3333,0.75,2,efficiency_first,37.66,3.86,29.95,5.26,2.63,1.1384,4.55,22.77,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.685,24.38,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,2,1221,mixed_balanced,6,1,2,2,1,0.1667,0.3333,0.3333,0.1667,0.75,2,efficiency_first,34.0,4.23,25.55,2.9,1.45,1.1259,4.5,19.6,recommend_3arm,3arm,1.22,1.4,1.22,0.9058,0.7111,21.49,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,3,2212,single_arm_dominant,7,2,2,1,2,0.2857,0.2857,0.1429,0.2857,0.875,2,efficiency_first,31.99,4.36,23.28,0.56,0.28,1.1705,4.68,18.32,recommend_3arm,3arm,1.23,1.4,1.23,0.9058,0.7259,19.87,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,4,1211,single_arm_dominant,5,1,2,1,1,0.2,0.4,0.2,0.2,0.625,2,efficiency_first,35.27,4.88,25.51,5.64,2.82,1.0941,4.38,18.31,recommend_3arm,3arm,1.21,1.4,1.21,0.9058,0.7023,22.47,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,5,1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,2,efficiency_first,38.19,5.37,27.44,10.03,5.01,1.0594,4.24,18.19,recommend_3arm,3arm,1.19,1.4,1.19,0.9058,0.6848,24.4,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,6,2121,mixed_balanced,6,2,1,2,1,0.3333,0.1667,0.3333,0.1667,0.75,2,efficiency_first,32.19,4.63,22.93,1.48,0.74,1.1259,4.5,17.69,recommend_3arm,3arm,1.23,1.4,1.23,0.9058,0.7257,19.88,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,7,2221,single_arm_dominant,7,2,2,2,1,0.2857,0.2857,0.2857,0.1429,0.875,2,efficiency_first,32.01,4.72,22.57,0.58,0.29,1.1613,4.65,17.63,recommend_3arm,3arm,1.23,1.4,1.23,0.9058,0.7269,19.76,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,8,2112,mixed_balanced,6,2,1,1,2,0.3333,0.1667,0.1667,0.3333,0.75,2,efficiency_first,32.37,4.63,23.11,2.28,1.14,1.1384,4.55,17.42,recommend_3arm,3arm,1.23,1.4,1.23,0.9058,0.7239,20.08,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,9,1222,dual_arm_dominant,7,1,2,2,2,0.1429,0.2857,0.2857,0.2857,0.875,2,efficiency_first,30.5,3.45,23.6,4.79,2.4,1.1705,4.68,16.52,recommend_3arm,3arm,1.24,1.4,1.24,0.9058,0.7314,19.26,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
efficiency_oriented,time efficiency is important and third-arm activation cost is low,2,0.5,4,10,2111,single_arm_dominant,5,2,1,1,1,0.4,0.2,0.2,0.2,0.625,2,efficiency_first,33.11,5.93,21.25,5.37,2.69,1.0941,4.38,14.19,recommend_3arm,3arm,1.22,1.4,1.22,0.9058,0.7212,20.38,3,robust_mode_selection_result.csv,"S_final=mean(S_lambda)-gamma*std(S_lambda)-K*Phi(p,r)"
