lambda,lambda_label,gamma,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_final_integrated_score,min_final_integrated_score,max_final_integrated_score,mean_recommended_speed_multiplier,note
0.5,0_5,0,0,16,16,0,100.0,29.01,22.06,35.73,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0,2,16,16,0,100.0,26.75,19.78,33.45,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0,4,16,16,0,100.0,24.48,17.51,31.26,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0,6,16,16,0,100.0,22.21,15.23,29.14,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0,8,16,16,0,100.0,19.95,12.95,27.02,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0,10,16,16,0,100.0,17.68,10.68,24.91,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0,12,16,16,0,100.0,15.41,8.4,22.79,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0,15,16,16,0,100.0,12.02,4.98,19.61,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0,20,16,15,1,93.75,6.35,-0.71,14.31,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0,25,16,9,7,56.25,0.69,-6.4,9.02,1.3,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0.5,0,16,16,0,100.0,27.18,19.26,33.27,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0.5,2,16,16,0,100.0,24.92,16.98,31.0,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0.5,4,16,16,0,100.0,22.65,14.71,28.72,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
0.5,0_5,0.5,6,16,16,0,100.0,20.38,12.43,26.44,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
