counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,seeds_used,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,worst_energy_z,max_cmax_after_speed,worst_energy_seed,binding_time_seed,primal_min,dual_min,stationarity_s_single,stationarity_s_dual,stationarity_z,stationarity_norm,max_complementarity_error,active_constraints,active_time_seeds,active_energy_seeds,selected_multipliers,kkt_pass,kkt_note
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.7,1304.8,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.507018,1.52342,10101.394311,1304.8,2,1,-8.28e-08,0.0,-0.0056762027,0.0058004353,0.9999341313,0.9999670651,0.0,time_seed_1+energy_seed_2,1,2,energy_seed_2:6.58687e-05;time_seed_1:0.000359768,0,KKT residual is reported for numerical inspection
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.7,1304.8,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.937825,0.98872,9058.007427,1304.799431,2,2,0.0,0.0,-0.0612055059,0.0680288996,0.9915546306,0.9957683619,9.282e-07,time_seed_2+energy_seed_2,2,2,energy_seed_2:0.00844537;time_seed_2:0.00163011,0,KKT residual is reported for numerical inspection
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.75,1398.0,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.403097,1.425405,9658.228874,1398.0,2,1,-7.01e-08,0.0,-0.0059509546,0.0061416903,0.9999268604,0.9999634295,0.0,time_seed_1+energy_seed_2,1,2,energy_seed_2:7.31396e-05;time_seed_1:0.000301037,0,KKT residual is reported for numerical inspection
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.75,1398.0,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.8,1491.2,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.31153,1.340339,9324.947405,1491.2,2,1,-7.32e-08,0.0,-0.0060967086,0.0063674905,0.9999222792,0.9999611388,0.0,time_seed_1+energy_seed_2,1,2,energy_seed_2:7.77208e-05;time_seed_1:0.000239847,0,KKT residual is reported for numerical inspection
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.8,1491.2,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.85,1584.4,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.231259,1.264773,9076.257411,1584.4,2,1,-9.34e-08,0.0,-0.0067397456,0.0071116385,0.9999039912,0.9999519945,0.0,time_seed_1+energy_seed_2,1,2,energy_seed_2:9.60088e-05;time_seed_1:0.000219348,0,KKT residual is reported for numerical inspection
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.85,1584.4,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.9,1677.6,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.159887,1.197657,8893.948027,1677.6,2,1,-5.53e-08,0.0,-0.0077329288,0.0082447585,0.9998722094,0.9999361027,0.0,time_seed_1+energy_seed_2,1,2,energy_seed_2:0.000127791;time_seed_1:0.000211111,0,KKT residual is reported for numerical inspection
1111,1,1,1,1,4,balanced,optimized,3,"0,1,2",mean_2b,1864.0,0.9,1677.6,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,9055.259965,1333.666643,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_2,,2,energy_seed_2:1,1,KKT conditions numerically satisfied for robust SLP solution
