counts_code,scenario_type,total_tasks,n1,n2,n3,n4,lambda,lambda_label,gamma,sample_count,mean_eta_T_percent,std_eta_T_percent,mean_eta_E_percent,std_eta_E_percent,mean_score,std_score,robust_score,robust_recommendation,model_note
1111,balanced,4,1,1,1,1,0.5,0_5,0,3,38.19,10.18,5.37,0.16,35.5,10.15,35.5,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
1111,balanced,4,1,1,1,1,0.5,0_5,0.5,3,38.19,10.18,5.37,0.16,35.5,10.15,30.43,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
1111,balanced,4,1,1,1,1,0.5,0_5,1,3,38.19,10.18,5.37,0.16,35.5,10.15,25.35,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
1111,balanced,4,1,1,1,1,0.5,0_5,1.5,3,38.19,10.18,5.37,0.16,35.5,10.15,20.28,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
1111,balanced,4,1,1,1,1,0.5,0_5,2,3,38.19,10.18,5.37,0.16,35.5,10.15,15.21,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
1111,balanced,4,1,1,1,1,1,1,0,3,38.19,10.18,5.37,0.16,32.81,10.11,32.81,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
1111,balanced,4,1,1,1,1,1,1,0.5,3,38.19,10.18,5.37,0.16,32.81,10.11,27.76,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
1111,balanced,4,1,1,1,1,1,1,1,3,38.19,10.18,5.37,0.16,32.81,10.11,22.7,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
1111,balanced,4,1,1,1,1,1,1,1.5,3,38.19,10.18,5.37,0.16,32.81,10.11,17.65,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
1111,balanced,4,1,1,1,1,1,1,2,3,38.19,10.18,5.37,0.16,32.81,10.11,12.6,recommend_3arm,robust_score = mean(S_lambda) - gamma * std(S_lambda)
