counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mean_cmax_2B_original,max_cmax_2B_original,mean_energy_2B_original,max_energy_2B_original,robust_feasible_2B,opt_speed_single_2B,opt_speed_dual_2B,worst_energy_z_2B,mean_energy_after_speed_2B,max_cmax_after_speed_2B,worst_energy_seed_2B,binding_time_seed_2B,kkt_pass_2B,infeasible_reason_2B,mean_cmax_3B_original,max_cmax_3B_original,mean_energy_3B_original,max_energy_3B_original,robust_feasible_3B,opt_speed_single_3B,opt_speed_dual_3B,worst_energy_z_3B,mean_energy_after_speed_3B,max_cmax_after_speed_3B,worst_energy_seed_3B,binding_time_seed_3B,kkt_pass_3B,infeasible_reason_3B,worst_energy_gap_2B_minus_3B,worst_energy_gap_percent_vs_2B,recommended_mode,recommendation,recommendation_reason
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,0.7,1304.8,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,1.507018,1.52342,10101.394311,9392.421741,1304.8,2,1,0,,1144.333333,1256.0,8445.0,9079.0,1,0.937825,0.98872,9058.007427,8425.47337,1304.799431,2,2,0,,1043.386884,10.3291,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,0.75,1398.0,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,1.403097,1.425405,9658.228874,8980.360142,1398.0,2,1,0,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,602.968909,6.2431,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,0.8,1491.2,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,1.31153,1.340339,9324.947405,8670.470238,1491.2,2,1,0,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,269.68744,2.8921,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,0.85,1584.4,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,1.231259,1.264773,9076.257411,8439.234704,1584.4,2,1,0,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,20.997446,0.2313,3B,recommend_3arm_lower_worst_case_energy,3B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,0.9,1677.6,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,1.159887,1.197657,8893.948027,8269.720816,1677.6,2,1,0,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-161.311939,-1.8137,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,0.95,1770.8,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,1.096111,1.137547,8764.380646,8149.247201,1770.8,2,1,0,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-290.87932,-3.3189,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,1.0,1864.0,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,1.038544,1.08366,8677.275997,8068.256046,1864.0,2,1,0,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-377.983968,-4.356,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,1.05,1957.2,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,0.986558,1.034829,8624.69273,8019.363368,1957.199196,2,1,0,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-430.567236,-4.9923,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,1.1,2050.4,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,0.939427,0.990322,8600.48324,7996.853035,2050.397992,2,1,0,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-454.776726,-5.2878,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
1111,1,1,1,1,4,balanced,optimized,3,mean_2b,1864.0,1.15,2143.6,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,1977.0,8015.0,8620.0,1,0.91626,0.968729,8597.460172,7994.042144,2099.250759,2,1,1,,1144.333333,1256.0,8445.0,9079.0,1,0.91626,0.968729,9055.259965,8422.917767,1333.666643,2,2,1,,-457.799793,-5.3248,2B,recommend_2arm_lower_worst_case_energy,2B has lower worst-case energy under seed perturbations
