sensitivity_case,counts_code,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,opt_energy,opt_cmax,active_constraints,g_single_lower,g_single_upper,g_dual_lower,g_dual_upper,g_deadline,mu_single_lower,mu_single_upper,mu_dual_lower,mu_dual_upper,mu_deadline,stationarity_single_residual,stationarity_dual_residual,stationarity_norm,max_complementarity_error,primal_min,dual_min,kkt_pass,kkt_note
baseline,1111,0.7,1304.8,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.431432,1.425722,9034.412404,1304.799977,deadline,0.8314320402,0.3685679598,0.8257222779,0.3742777221,2.30799e-05,0.0,0.0,0.0,0.0,4.2333449408,-0.0155748448,0.0154508413,0.0219386483,9.77051e-05,2.30799e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.7,1304.8,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.96873,8422.917767,1215.09432,none,0.3162608645,0.8837391355,0.3687296585,0.8312703415,89.7056804729,0.0,0.0,0.0,0.0,0.0,0.0030976316,0.0022095542,0.0038049246,0.0,0.3162608645,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.75,1398.0,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.332326,1.334342,8694.042736,1397.999966,deadline,0.7323258594,0.4676741406,0.7343423962,0.4656576038,3.35179e-05,0.0,0.0,0.0,0.0,3.1218834959,0.0858524092,-0.0861124891,0.1215976848,0.0001046391,3.35179e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.75,1398.0,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.96873,8422.917767,1215.093749,none,0.3162613901,0.8837386099,0.368730007,0.831269993,182.9062511527,0.0,0.0,0.0,0.0,0.0,0.0061270672,0.0043946206,0.0075401354,0.0,0.3162613901,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.8,1491.2,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.245138,1.254901,8444.416246,1491.199955,deadline,0.6451375393,0.5548624607,0.6549006635,0.5450993365,4.52917e-05,0.0,0.0,0.0,0.0,2.2715388144,0.1639455964,-0.166526671,0.2336863084,0.0001028818,4.52917e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.8,1491.2,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.96873,8422.917767,1215.093997,none,0.3162611666,0.8837388334,0.3687298492,0.8312701508,276.1060026265,0.0,0.0,0.0,0.0,0.0,0.0048389705,0.0034051047,0.0059169564,0.0,0.3162611666,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.85,1584.4,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.167727,1.185347,8264.780255,1584.399934,deadline,0.5677266208,0.6322733792,0.585346593,0.614653407,6.58437e-05,0.0,0.0,0.0,0.0,1.6101015135,0.1254587223,-0.1292734115,0.1801430151,0.0001060151,6.58437e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.85,1584.4,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.96873,8422.917767,1215.094134,none,0.316261043,0.883738957,0.3687297638,0.8312702362,369.3058662896,0.0,0.0,0.0,0.0,0.0,0.0041261052,0.0028698618,0.0050260174,0.0,0.316261043,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.9,1677.6,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.098461,1.124056,8139.976058,1677.599909,deadline,0.4984613432,0.7015386568,0.5240557439,0.6759442561,9.12837e-05,0.0,0.0,0.0,0.0,1.0880686092,0.0720880793,-0.0754865534,0.10437869,9.9323e-05,9.12837e-05,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.9,1677.6,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.96873,8422.917767,1215.094205,none,0.3162609787,0.8837390213,0.3687297186,0.8312702814,462.5057949349,0.0,0.0,0.0,0.0,0.0,0.0037560234,0.0025860711,0.0045602056,0.0,0.3162609787,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.95,1770.8,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.036055,1.069747,8058.720629,1770.799853,deadline,0.4360551193,0.7639448807,0.4697472766,0.7302527234,0.0001466389,0.0,0.0,0.0,0.0,0.6707414875,0.0774327321,-0.0825507912,0.1131833077,9.83568e-05,0.0001466389,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,0.95,1770.8,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,8422.917767,1215.094702,none,0.3162605517,0.8837394483,0.3687293808,0.8312706192,555.7052979393,0.0,0.0,0.0,0.0,0.0,0.0012944317,0.0004682595,0.0013765248,0.0,0.3162605517,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.0,1864.0,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.979456,1.021424,8012.473887,1863.999696,deadline,0.3794564732,0.8205435268,0.4214241066,0.7785758934,0.0003040693,0.0,0.0,0.0,0.0,0.3333145978,0.0554080598,-0.0602580215,0.0818601383,0.0001013507,0.0003040693,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
baseline,1111,1.0,1864.0,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.916261,0.968729,8422.917767,1215.094712,none,0.3162605412,0.8837394588,0.3687293765,0.8312706235,648.9052881854,0.0,0.0,0.0,0.0,0.0,0.0012344038,0.0004409451,0.0013107957,0.0,0.3162605412,0.0,1,KKT conditions numerically satisfied for barrier-golden solution
