deadline_type,deadline_multiplier_of_2B_cmax,deadline_value,deadline_note,counts_code,scenario_type,total_tasks,n1,n2,n3,n4,base_cmax_2arm,base_cmax_3arm,base_energy_2arm,base_energy_3arm,status_2arm,reason_2arm,required_speed_2arm,opt_speed_2arm,opt_cmax_2arm,opt_energy_2arm,status_3arm,reason_3arm,required_speed_3arm,opt_speed_3arm,opt_cmax_3arm,opt_energy_3arm,recommendation,recommendation_reason,energy_advantage_selected_vs_other_percent,solve_method,model,energy_model,rho_dynamic_energy,speed_min,speed_max,data_source
loose_deadline,1.5,2796.0,time requirement is loose,,balanced,4,1,1,1,1,1864.0,1144.33,8015.0,8445.0,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,2796.0,4898.06,OPTIMAL,solved by interior point method and 0.618 search,0.4093,0.6,1907.22,4661.64,recommend_3arm,"both feasible, 3arm has lower energy",4.83,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,1864.0,time requirement equals original 2-arm Cmax,,balanced,4,1,1,1,1,1864.0,1144.33,8015.0,8445.0,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,1864.0,8015.0,OPTIMAL,solved by interior point method and 0.618 search,0.6139,0.6139,1864.0,4761.47,recommend_3arm,"both feasible, 3arm has lower energy",40.59,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,1491.2,time requirement is tight,,balanced,4,1,1,1,1,1864.0,1144.33,8015.0,8445.0,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,1491.2,11170.91,OPTIMAL,solved by interior point method and 0.618 search,0.7674,0.7674,1491.2,6014.7,recommend_3arm,"both feasible, 3arm has lower energy",46.16,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1304.8,time requirement is very urgent,,balanced,4,1,1,1,1,1864.0,1144.33,8015.0,8445.0,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,0.877,0.877,1304.8,7080.37,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,3585.49,time requirement is loose,,type4_dominant,5,1,1,1,2,2390.33,1674.67,12076.33,12578.0,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,3585.49,7379.98,OPTIMAL,solved by interior point method and 0.618 search,0.4671,0.6,2791.12,6943.06,recommend_3arm,"both feasible, 3arm has lower energy",5.92,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2390.33,time requirement equals original 2-arm Cmax,,type4_dominant,5,1,1,1,2,2390.33,1674.67,12076.33,12578.0,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2390.33,12076.33,OPTIMAL,solved by interior point method and 0.618 search,0.7006,0.7006,2390.33,8095.08,recommend_3arm,"both feasible, 3arm has lower energy",32.97,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
tight_deadline,0.8,1912.26,time requirement is tight,,type4_dominant,5,1,1,1,2,2390.33,1674.67,12076.33,12578.0,OPTIMAL,solved by interior point method and 0.618 search,1.25,1.25,1912.26,16831.39,OPTIMAL,solved by interior point method and 0.618 search,0.8758,0.8758,1912.26,10526.02,recommend_3arm,"both feasible, 3arm has lower energy",37.46,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
urgent_deadline,0.7,1673.23,time requirement is very urgent,,type4_dominant,5,1,1,1,2,2390.33,1674.67,12076.33,12578.0,INFEASIBLE,required speed exceeds speed_max,1.4286,,,,OPTIMAL,solved by interior point method and 0.618 search,1.0009,1.0009,1673.23,12593.15,recommend_3arm,only 3arm can meet deadline,,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
loose_deadline,1.5,3511.5,time requirement is loose,,dual_arm_dominant,5,1,1,2,1,2341.0,1646.67,9844.0,10282.33,OPTIMAL,solved by interior point method and 0.618 search,0.6667,0.6667,3511.5,6015.78,OPTIMAL,solved by interior point method and 0.618 search,0.4689,0.6,2744.45,5675.85,recommend_3arm,"both feasible, 3arm has lower energy",5.65,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
normal_deadline,1.0,2341.0,time requirement equals original 2-arm Cmax,,dual_arm_dominant,5,1,1,2,1,2341.0,1646.67,9844.0,10282.33,OPTIMAL,solved by interior point method and 0.618 search,1.0,1.0,2341.0,9844.0,OPTIMAL,solved by interior point method and 0.618 search,0.7034,0.7034,2341.0,6645.93,recommend_3arm,"both feasible, 3arm has lower energy",32.49,interior_point_method + golden_section_0_618,"min Energy(s), s.t. Cmax0/s <= D and speed_min <= s <= speed_max",Energy(s)=Energy0*((1-rho)+rho*s^2),0.7,0.6,1.4,mode_decision_summary_basic.csv
