sensitivity_case,counts_code,n1,n2,n3,n4,total_tasks,scenario_type,seed_count,method,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mean_cmax_2B_original,mean_energy_2B_original,feasible_2B,opt_speed_single_2B,opt_speed_dual_2B,opt_energy_2B,opt_cmax_2B,active_constraints_2B,kkt_pass_2B,infeasible_reason_2B,mean_cmax_3B_original,mean_energy_3B_original,feasible_3B,opt_speed_single_3B,opt_speed_dual_3B,opt_energy_3B,opt_cmax_3B,active_constraints_3B,kkt_pass_3B,infeasible_reason_3B,energy_advantage_2B_minus_3B,recommended_mode,recommendation,recommendation_reason
baseline,1111,1,1,1,1,4,balanced,3,optimized,0.7,1304.8,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,1.431432,1.425722,9034.412404,1304.799977,deadline,1,,1144.333333,8445.0,1,0.916261,0.96873,8422.917767,1215.09432,none,1,,611.494636,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,0.75,1398.0,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,1.332326,1.334342,8694.042736,1397.999966,deadline,1,,1144.333333,8445.0,1,0.916261,0.96873,8422.917767,1215.093749,none,1,,271.124969,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,0.8,1491.2,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,1.245138,1.254901,8444.416246,1491.199955,deadline,1,,1144.333333,8445.0,1,0.916261,0.96873,8422.917767,1215.093997,none,1,,21.498479,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,0.85,1584.4,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,1.167727,1.185347,8264.780255,1584.399934,deadline,1,,1144.333333,8445.0,1,0.916261,0.96873,8422.917767,1215.094134,none,1,,-158.137512,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,0.9,1677.6,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,1.098461,1.124056,8139.976058,1677.599909,deadline,1,,1144.333333,8445.0,1,0.916261,0.96873,8422.917767,1215.094205,none,1,,-282.941709,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,0.95,1770.8,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,1.036055,1.069747,8058.720629,1770.799853,deadline,1,,1144.333333,8445.0,1,0.916261,0.968729,8422.917767,1215.094702,none,1,,-364.197138,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.0,1864.0,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.979456,1.021424,8012.473887,1863.999696,deadline,1,,1144.333333,8445.0,1,0.916261,0.968729,8422.917767,1215.094712,none,1,,-410.44388,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.05,1957.2,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.927831,0.978268,7994.674208,1957.198265,deadline,1,,1144.333333,8445.0,1,0.916261,0.968729,8422.917767,1215.094728,none,1,,-428.243559,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.1,2050.4,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.916261,0.96873,7994.042144,1979.26138,none,1,,1144.333333,8445.0,1,0.916261,0.968729,8422.917767,1215.094743,none,1,,-428.875623,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.15,2143.6,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.916261,0.96873,7994.042144,1979.262337,none,1,,1144.333333,8445.0,1,0.916261,0.968729,8422.917767,1215.094733,none,1,,-428.875623,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.2,2236.8,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.916262,0.96873,7994.042144,1979.261055,none,1,,1144.333333,8445.0,1,0.916261,0.968729,8422.917767,1215.094748,none,1,,-428.875623,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.25,2330.0,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.916261,0.96873,7994.042144,1979.261455,none,1,,1144.333333,8445.0,1,0.916261,0.968729,8422.917767,1215.09473,none,1,,-428.875623,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.3,2423.2,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.916261,0.96873,7994.042144,1979.2617,none,1,,1144.333333,8445.0,1,0.91626,0.968729,8422.917767,1215.094751,none,1,,-428.875623,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.35,2516.4,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.916261,0.96873,7994.042144,1979.261855,none,1,,1144.333333,8445.0,1,0.916261,0.968729,8422.917767,1215.094736,none,1,,-428.875623,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.4,2609.6,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.916261,0.96873,7994.042144,1979.261959,none,1,,1144.333333,8445.0,1,0.91626,0.968729,8422.917767,1215.094753,none,1,,-428.875623,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1111,1,1,1,1,4,balanced,3,optimized,1.5,2796.0,0.35,0.45,0.35,0.45,0.6,1.8,1864.0,8015.0,1,0.916261,0.96873,7994.042144,1979.262089,none,1,,1144.333333,8445.0,1,0.91626,0.968729,8422.917767,1215.094855,none,1,,-428.875623,2B,recommend_2arm_lower_energy_under_deadline,2B has lower optimized energy under the same deadline
baseline,1112,1,1,1,2,5,type4_dominant,3,optimized,0.7,1673.233333,0.35,0.45,0.35,0.45,0.6,1.8,2390.333333,12076.333333,1,1.432066,1.426251,13601.210646,1673.233315,deadline,1,,1674.666667,12578.0,1,0.975796,1.018292,12574.894016,1673.233151,deadline,1,,1026.316631,3B,recommend_3arm_lower_energy_under_deadline,3B has lower optimized energy under the same deadline
