counts_code,scenario_type,total_tasks,n1,n2,n3,n4,preference,alpha_time,beta_energy,rho_dynamic_energy,base_cmax_2arm,base_cmax_3arm,base_energy_2arm,base_energy_3arm,base_obj_2arm,base_obj_3arm,base_recommendation,opt_speed_2arm,opt_cmax_2arm,opt_energy_2arm,opt_obj_2arm,opt_speed_3arm,opt_cmax_3arm,opt_energy_3arm,opt_obj_3arm,optimized_recommendation,objective_gain_3arm_vs_2arm_percent,data_source,model_note
1111,balanced,4,1,1,1,1,efficiency_first,0.8,0.2,0.7,1864.0,1144.33,8015.0,8445.0,1.0,0.7019,recommend_3arm,1.4,1331.43,13401.08,0.9058,1.19,961.62,10904.78,0.6848,recommend_3arm,24.4,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1111,balanced,4,1,1,1,1,balanced,0.5,0.5,0.7,1864.0,1144.33,8015.0,8445.0,1.0,0.8338,recommend_3arm,0.89,2094.38,6848.58,0.989,0.75,1525.77,5858.72,0.7748,recommend_3arm,21.67,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1111,balanced,4,1,1,1,1,energy_first,0.2,0.8,0.7,1864.0,1144.33,8015.0,8445.0,1.0,0.9657,recommend_3arm,0.6,3106.67,4424.28,0.7749,0.6,1907.22,4661.64,0.6699,recommend_3arm,13.55,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1112,type4_dominant,5,1,1,1,2,efficiency_first,0.8,0.2,0.7,2390.33,1674.67,12076.33,12578.0,1.0,0.7688,recommend_3arm,1.4,1707.38,20191.62,0.9058,1.24,1350.54,17311.35,0.7387,recommend_3arm,18.45,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1112,type4_dominant,5,1,1,1,2,balanced,0.5,0.5,0.7,2390.33,1674.67,12076.33,12578.0,1.0,0.8711,recommend_3arm,0.89,2685.76,10318.86,0.989,0.78,2147.01,9130.12,0.8271,recommend_3arm,16.37,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1112,type4_dominant,5,1,1,1,2,energy_first,0.2,0.8,0.7,2390.33,1674.67,12076.33,12578.0,1.0,0.9734,recommend_3arm,0.6,3983.88,6666.13,0.7749,0.6,2791.12,6943.06,0.6935,recommend_3arm,10.51,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1121,dual_arm_dominant,5,1,1,2,1,efficiency_first,0.8,0.2,0.7,2341.0,1646.67,9844.0,10282.33,1.0,0.7716,recommend_3arm,1.4,1672.14,16459.17,0.9058,1.24,1327.96,14151.78,0.7413,recommend_3arm,18.16,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1121,dual_arm_dominant,5,1,1,2,1,balanced,0.5,0.5,0.7,2341.0,1646.67,9844.0,10282.33,1.0,0.874,recommend_3arm,0.89,2630.34,8411.4,0.989,0.78,2111.12,7463.74,0.83,recommend_3arm,16.08,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1121,dual_arm_dominant,5,1,1,2,1,energy_first,0.2,0.8,0.7,2341.0,1646.67,9844.0,10282.33,1.0,0.9763,recommend_3arm,0.6,3901.67,5433.89,0.7749,0.6,2744.45,5675.85,0.6957,recommend_3arm,10.22,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1122,dual_arm_dominant,6,1,1,2,2,efficiency_first,0.8,0.2,0.7,2864.67,2172.67,13975.67,14493.33,1.0,0.8142,recommend_3arm,1.4,2046.19,23367.32,0.9058,1.28,1697.4,20970.11,0.7741,recommend_3arm,14.54,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1122,dual_arm_dominant,6,1,1,2,2,balanced,0.5,0.5,0.7,2864.67,2172.67,13975.67,14493.33,1.0,0.8977,recommend_3arm,0.89,3218.73,11941.79,0.989,0.81,2682.31,11004.35,0.8619,recommend_3arm,12.86,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1122,dual_arm_dominant,6,1,1,2,2,energy_first,0.2,0.8,0.7,2864.67,2172.67,13975.67,14493.33,1.0,0.9813,recommend_3arm,0.6,4774.45,7714.57,0.7749,0.6,3621.12,8000.32,0.7108,recommend_3arm,8.28,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1211,single_arm_dominant,5,1,2,1,1,efficiency_first,0.8,0.2,0.7,2160.33,1387.0,8401.0,8807.67,1.0,0.7233,recommend_3arm,1.4,1543.09,14046.47,0.9058,1.21,1146.28,11669.02,0.7023,recommend_3arm,22.47,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1211,single_arm_dominant,5,1,2,1,1,balanced,0.5,0.5,0.7,2160.33,1387.0,8401.0,8807.67,1.0,0.8452,recommend_3arm,0.89,2427.34,7178.4,0.989,0.76,1825.0,6203.42,0.7916,recommend_3arm,19.96,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1211,single_arm_dominant,5,1,2,1,1,energy_first,0.2,0.8,0.7,2160.33,1387.0,8401.0,8807.67,1.0,0.9671,recommend_3arm,0.6,3600.55,4637.35,0.7749,0.6,2311.67,4861.83,0.677,recommend_3arm,12.64,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1212,mixed_balanced,6,1,2,1,2,efficiency_first,0.8,0.2,0.7,2689.33,1667.33,12514.67,12997.0,1.0,0.7037,recommend_3arm,1.4,1920.95,20924.53,0.9058,1.19,1401.12,16782.64,0.685,recommend_3arm,24.38,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1212,mixed_balanced,6,1,2,1,2,balanced,0.5,0.5,0.7,2689.33,1667.33,12514.67,12997.0,1.0,0.8293,recommend_3arm,0.89,3021.72,10693.41,0.989,0.75,2223.11,9016.67,0.7736,recommend_3arm,21.79,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1212,mixed_balanced,6,1,2,1,2,energy_first,0.2,0.8,0.7,2689.33,1667.33,12514.67,12997.0,1.0,0.9548,recommend_3arm,0.6,4482.22,6908.1,0.7749,0.6,2778.88,7174.34,0.6653,recommend_3arm,14.15,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1221,mixed_balanced,6,1,2,2,1,efficiency_first,0.8,0.2,0.7,2799.67,1842.0,11139.67,11610.33,1.0,0.7348,recommend_3arm,1.4,1999.76,18625.53,0.9058,1.22,1509.84,15579.67,0.7111,recommend_3arm,21.49,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1221,mixed_balanced,6,1,2,2,1,balanced,0.5,0.5,0.7,2799.67,1842.0,11139.67,11610.33,1.0,0.8501,recommend_3arm,0.89,3145.7,9518.51,0.989,0.77,2392.21,8301.73,0.7999,recommend_3arm,19.13,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1221,mixed_balanced,6,1,2,2,1,energy_first,0.2,0.8,0.7,2799.67,1842.0,11139.67,11610.33,1.0,0.9654,recommend_3arm,0.6,4666.12,6149.1,0.7749,0.6,3070.0,6408.9,0.6796,recommend_3arm,12.31,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
1222,dual_arm_dominant,7,1,2,2,2,efficiency_first,0.8,0.2,0.7,3300.67,2285.0,15014.33,15531.33,1.0,0.7607,recommend_3arm,1.4,2357.62,25103.96,0.9058,1.24,1842.74,21376.08,0.7314,recommend_3arm,19.26,mode_decision_summary_basic.csv,"Cmax=Cmax0/s, Energy=Energy0*((1-rho)+rho*s^2)"
