lambda,lambda_label,p_grid_step,optimal_n,optimal_r,optimal_p1,optimal_p2,optimal_p3,optimal_p4,equivalent_n1,equivalent_n2,equivalent_n3,equivalent_n4,predicted_max_S,recommendation_at_optimum,nearest_counts_code,nearest_scenario_type,nearest_distance,constraint_note
0.5,0_5,0.01,4,0.5,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,34.01,recommend_3arm,1111,balanced,0.0,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
1,1,0.01,5,0.625,0.23,0.33,0.2,0.24,1.15,1.65,1.0,1.2,31.57,recommend_3arm,1211,single_arm_dominant,0.086,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
2,2,0.01,5,0.625,0.2,0.33,0.21,0.26,1.0,1.65,1.05,1.3,26.83,recommend_3arm,1211,single_arm_dominant,0.0927,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
3,3,0.01,6,0.75,0.17,0.33,0.22,0.28,1.02,1.98,1.32,1.68,22.25,recommend_3arm,1212,mixed_balanced,0.0756,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
4,4,0.01,6,0.75,0.17,0.33,0.22,0.28,1.02,1.98,1.32,1.68,18.2,recommend_3arm,1212,mixed_balanced,0.0756,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
5,5,0.01,6,0.75,0.17,0.33,0.21,0.29,1.02,1.98,1.26,1.74,14.16,recommend_3arm,1212,mixed_balanced,0.0615,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
6,6,0.01,6,0.75,0.17,0.33,0.21,0.29,1.02,1.98,1.26,1.74,10.13,recommend_3arm,1212,mixed_balanced,0.0615,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
8,8,0.01,6,0.75,0.17,0.31,0.2,0.32,1.02,1.86,1.2,1.92,2.14,recommend_3arm,1212,mixed_balanced,0.0429,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
10,10,0.01,7,0.875,0.16,0.28,0.28,0.28,1.12,1.96,1.96,1.96,-5.25,recommend_2arm,1222,dual_arm_dominant,0.0198,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
15,15,0.01,7,0.875,0.16,0.28,0.28,0.28,1.12,1.96,1.96,1.96,-23.33,recommend_2arm,1222,dual_arm_dominant,0.0198,bounded by 1/n <= p_i <= 2/n to avoid extrapolation
