counts_code,scenario_type,total_tasks,p1,p2,p3,p4,r,mean_eta_T_percent,mean_eta_E_percent,actual_S_lambda_0_5,predicted_S_lambda_0_5,fit_error_lambda_0_5,actual_S_lambda_1,predicted_S_lambda_1,fit_error_lambda_1,actual_S_lambda_2,predicted_S_lambda_2,fit_error_lambda_2,actual_S_lambda_3,predicted_S_lambda_3,fit_error_lambda_3,actual_S_lambda_4,predicted_S_lambda_4,fit_error_lambda_4,actual_S_lambda_5,predicted_S_lambda_5,fit_error_lambda_5,actual_S_lambda_6,predicted_S_lambda_6,fit_error_lambda_6,actual_S_lambda_8,predicted_S_lambda_8,fit_error_lambda_8,actual_S_lambda_10,predicted_S_lambda_10,fit_error_lambda_10,actual_S_lambda_15,predicted_S_lambda_15,fit_error_lambda_15
1111,balanced,4,0.25,0.25,0.25,0.25,0.5,38.19,5.37,35.5,34.01,-1.5,32.82,31.31,-1.51,27.45,25.92,-1.53,22.08,20.53,-1.55,16.71,15.14,-1.57,11.34,9.76,-1.58,5.97,4.37,-1.6,-4.77,-6.41,-1.64,-15.51,-17.19,-1.68,-42.36,-44.14,-1.78
1112,type4_dominant,5,0.2,0.2,0.2,0.4,0.625,29.54,4.15,27.46,29.14,1.67,25.39,27.04,1.65,21.24,22.85,1.61,17.09,18.66,1.57,12.94,14.48,1.54,8.79,10.29,1.5,4.64,6.1,1.46,-3.66,-2.28,1.38,-11.96,-10.66,1.3,-32.71,-31.61,1.1
1121,dual_arm_dominant,5,0.2,0.2,0.4,0.2,0.625,29.14,4.46,26.91,27.95,1.04,24.68,25.73,1.05,20.22,21.28,1.06,15.76,16.84,1.08,11.3,12.39,1.09,6.84,7.95,1.11,2.38,3.5,1.12,-6.54,-5.39,1.15,-15.46,-14.28,1.18,-37.76,-36.5,1.26
1122,dual_arm_dominant,6,0.1667,0.1667,0.3333,0.3333,0.75,23.91,3.7,22.06,26.17,4.11,20.21,24.35,4.14,16.51,20.72,4.21,12.81,17.09,4.28,9.11,13.46,4.35,5.41,9.83,4.42,1.71,6.2,4.49,-5.69,-1.06,4.63,-13.09,-8.32,4.77,-31.59,-26.47,5.12
1211,single_arm_dominant,5,0.2,0.4,0.2,0.2,0.625,35.27,4.88,32.83,33.26,0.43,30.39,30.85,0.46,25.51,26.02,0.51,20.63,21.2,0.57,15.75,16.37,0.62,10.87,11.55,0.68,5.99,6.72,0.73,-3.77,-2.93,0.84,-13.53,-12.58,0.95,-37.93,-36.7,1.23
1212,mixed_balanced,6,0.1667,0.3333,0.1667,0.3333,0.75,37.66,3.86,35.73,31.43,-4.3,33.8,29.47,-4.33,29.94,25.56,-4.38,26.08,21.65,-4.43,22.22,17.73,-4.49,18.36,13.82,-4.54,14.5,9.91,-4.59,6.78,2.08,-4.7,-0.94,-5.75,-4.81,-20.24,-25.32,-5.08
1221,mixed_balanced,6,0.1667,0.3333,0.3333,0.1667,0.75,34.0,4.23,31.88,30.23,-1.66,29.77,28.14,-1.63,25.54,23.97,-1.57,21.31,19.79,-1.52,17.08,15.62,-1.46,12.85,11.45,-1.4,8.62,7.28,-1.34,0.16,-1.07,-1.23,-8.3,-9.41,-1.11,-29.45,-30.27,-0.82
1222,dual_arm_dominant,7,0.1429,0.2857,0.2857,0.2857,0.875,30.5,3.45,28.77,28.96,0.18,27.05,27.19,0.14,23.6,23.66,0.06,20.15,20.13,-0.02,16.7,16.59,-0.11,13.25,13.06,-0.19,9.8,9.53,-0.27,2.9,2.46,-0.44,-4.0,-4.6,-0.6,-21.25,-22.27,-1.02
2111,single_arm_dominant,5,0.4,0.2,0.2,0.2,0.625,33.11,5.93,30.14,30.62,0.48,27.18,27.73,0.55,21.25,21.94,0.69,15.32,16.15,0.83,9.39,10.36,0.97,3.46,4.58,1.12,-2.47,-1.21,1.26,-14.33,-12.79,1.54,-26.19,-24.36,1.83,-55.84,-53.3,2.54
2112,mixed_balanced,6,0.3333,0.1667,0.1667,0.3333,0.75,32.37,4.63,30.05,27.38,-2.68,27.74,25.08,-2.66,23.11,20.48,-2.63,18.48,15.88,-2.6,13.85,11.28,-2.57,9.22,6.68,-2.54,4.59,2.08,-2.51,-4.67,-7.12,-2.45,-13.93,-16.32,-2.39,-37.08,-39.32,-2.24
