lambda,lambda_label,sample_count,r2,rmse,max_abs_error,ridge_alpha,coef_constant,coef_p1,coef_p2,coef_p3,coef_p4,coef_r,coef_p1_square,coef_p2_square,coef_p3_square,coef_p4_square,coef_r_square,coef_p1_r,coef_p2_r,coef_p3_r,coef_p4_r
0.5,0_5,16,0.5249,2.6262,6.4054,0.0001,43.3129,6.6556,3.1193,7.5601,25.9778,14.8948,-61.1849,-96.4867,-101.8524,-119.0035,-23.14,-18.6819,41.9759,-2.4552,-5.944
1,1,16,0.501,2.622,6.3045,0.0001,39.6792,5.3199,2.4052,6.9892,24.9649,18.533,-63.9109,-96.0117,-100.1859,-116.983,-25.2048,-18.03,42.4103,-1.8739,-3.9734
2,2,16,0.4679,2.6168,6.1026,0.0001,32.4118,2.6484,0.9769,5.8475,22.9391,25.8094,-69.3631,-95.0616,-96.8529,-112.9421,-29.3344,-16.7261,43.2789,-0.7113,-0.0322
3,3,16,0.4621,2.6159,5.9008,0.0001,25.1445,-0.0232,-0.4514,4.7057,20.9133,33.0858,-74.8153,-94.1116,-93.5198,-108.9011,-33.4641,-15.4222,44.1476,0.4513,3.909
4,4,16,0.4857,2.6194,5.699,0.0001,17.8771,-2.6947,-1.8797,3.564,18.8875,40.3621,-80.2675,-93.1615,-90.1868,-104.8602,-37.5938,-14.1184,45.0163,1.614,7.8502
5,5,16,0.5311,2.6272,5.4971,0.0001,10.6097,-5.3662,-3.308,2.4222,16.8617,47.6385,-85.7196,-92.2115,-86.8537,-100.8193,-41.7234,-12.8145,45.885,2.7766,11.7915
6,6,16,0.587,2.6394,5.2953,0.0001,3.3423,-8.0378,-4.7363,1.2805,14.8359,54.9149,-91.1718,-91.2614,-83.5207,-96.7783,-45.8531,-11.5107,46.7537,3.9392,15.7327
8,8,16,0.6945,2.6763,5.4161,0.0001,-11.1924,-13.3808,-7.5929,-1.003,10.7843,69.4677,-102.0761,-89.3614,-76.8546,-88.6965,-54.1124,-8.903,48.491,6.2645,23.6151
10,10,16,0.7748,2.7295,5.8736,0.0001,-25.7272,-18.7239,-10.4495,-3.2865,6.7328,84.0205,-112.9805,-87.4613,-70.1885,-80.6146,-62.3717,-6.2952,50.2284,8.5898,31.4976
15,15,16,0.8785,2.9272,7.0174,0.0001,-62.064,-32.0816,-17.5911,-8.9952,-3.3962,120.4025,-140.2414,-82.711,-53.5233,-60.41,-83.02,0.224,54.5718,14.4029,51.2037
