lambda,lambda_label,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_adjusted_score,min_adjusted_score,max_adjusted_score,note
0.5,0_5,0,16,16,0,100.0,29.01,22.06,35.73,"As K or lambda increases, 3-arm recommendation ratio should decrease."
0.5,0_5,2,16,16,0,100.0,26.75,19.78,33.45,"As K or lambda increases, 3-arm recommendation ratio should decrease."
0.5,0_5,4,16,16,0,100.0,24.48,17.51,31.27,"As K or lambda increases, 3-arm recommendation ratio should decrease."
0.5,0_5,6,16,16,0,100.0,22.21,15.23,29.15,"As K or lambda increases, 3-arm recommendation ratio should decrease."
0.5,0_5,8,16,16,0,100.0,19.95,12.95,27.03,"As K or lambda increases, 3-arm recommendation ratio should decrease."
0.5,0_5,10,16,16,0,100.0,17.68,10.68,24.91,"As K or lambda increases, 3-arm recommendation ratio should decrease."
0.5,0_5,12,16,16,0,100.0,15.41,8.4,22.79,"As K or lambda increases, 3-arm recommendation ratio should decrease."
0.5,0_5,15,16,16,0,100.0,12.02,4.98,19.61,"As K or lambda increases, 3-arm recommendation ratio should decrease."
0.5,0_5,20,16,15,1,93.75,6.35,-0.71,14.32,"As K or lambda increases, 3-arm recommendation ratio should decrease."
0.5,0_5,25,16,9,7,56.25,0.69,-6.4,9.02,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,0,16,16,0,100.0,26.78,20.21,33.8,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,2,16,16,0,100.0,24.52,17.93,31.52,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,4,16,16,0,100.0,22.25,15.66,29.25,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,6,16,16,0,100.0,19.99,13.38,26.97,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,8,16,16,0,100.0,17.72,11.1,24.69,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,10,16,16,0,100.0,15.46,8.83,22.42,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,12,16,16,0,100.0,13.19,6.55,20.14,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,15,16,16,0,100.0,9.79,3.13,16.93,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,20,16,13,3,81.25,4.12,-2.56,11.63,"As K or lambda increases, 3-arm recommendation ratio should decrease."
1,1,25,16,4,12,25.0,-1.54,-8.25,6.34,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,0,16,16,0,100.0,22.33,16.51,29.94,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,2,16,16,0,100.0,20.06,14.23,27.66,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,4,16,16,0,100.0,17.8,11.96,25.39,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,6,16,16,0,100.0,15.53,9.68,23.11,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,8,16,16,0,100.0,13.26,7.4,20.83,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,10,16,16,0,100.0,11.0,5.13,18.56,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,12,16,16,0,100.0,8.73,2.85,16.28,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,15,16,14,2,87.5,5.33,-0.57,12.86,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,20,16,7,9,43.75,-0.33,-6.26,7.17,"As K or lambda increases, 3-arm recommendation ratio should decrease."
2,2,25,16,2,14,12.5,-6.0,-11.95,1.48,"As K or lambda increases, 3-arm recommendation ratio should decrease."
