counts_code,scenario_type,total_tasks,n1,n2,n3,n4,lambda,lambda_label,activation_cost_K,eta_T_percent,eta_E_percent,base_score_without_cost,activation_cost_factor_phi,activation_penalty,adjusted_score_with_cost,recommendation_with_cost
1111,balanced,4,1,1,1,1,0.5,0_5,0,38.19,5.37,35.5,1.0594,0.0,35.5,recommend_3arm
1111,balanced,4,1,1,1,1,0.5,0_5,2,38.19,5.37,35.5,1.0594,2.12,33.39,recommend_3arm
1111,balanced,4,1,1,1,1,0.5,0_5,4,38.19,5.37,35.5,1.0594,4.24,31.27,recommend_3arm
1111,balanced,4,1,1,1,1,0.5,0_5,6,38.19,5.37,35.5,1.0594,6.36,29.15,recommend_3arm
1111,balanced,4,1,1,1,1,0.5,0_5,8,38.19,5.37,35.5,1.0594,8.47,27.03,recommend_3arm
1111,balanced,4,1,1,1,1,0.5,0_5,10,38.19,5.37,35.5,1.0594,10.59,24.91,recommend_3arm
1111,balanced,4,1,1,1,1,0.5,0_5,12,38.19,5.37,35.5,1.0594,12.71,22.79,recommend_3arm
1111,balanced,4,1,1,1,1,0.5,0_5,15,38.19,5.37,35.5,1.0594,15.89,19.61,recommend_3arm
1111,balanced,4,1,1,1,1,0.5,0_5,20,38.19,5.37,35.5,1.0594,21.19,14.32,recommend_3arm
1111,balanced,4,1,1,1,1,0.5,0_5,25,38.19,5.37,35.5,1.0594,26.48,9.02,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,0,38.19,5.37,32.82,1.0594,0.0,32.82,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,2,38.19,5.37,32.82,1.0594,2.12,30.7,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,4,38.19,5.37,32.82,1.0594,4.24,28.58,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,6,38.19,5.37,32.82,1.0594,6.36,26.46,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,8,38.19,5.37,32.82,1.0594,8.47,24.34,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,10,38.19,5.37,32.82,1.0594,10.59,22.23,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,12,38.19,5.37,32.82,1.0594,12.71,20.11,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,15,38.19,5.37,32.82,1.0594,15.89,16.93,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,20,38.19,5.37,32.82,1.0594,21.19,11.63,recommend_3arm
1111,balanced,4,1,1,1,1,1,1,25,38.19,5.37,32.82,1.0594,26.48,6.34,recommend_3arm
1111,balanced,4,1,1,1,1,2,2,0,38.19,5.37,27.45,1.0594,0.0,27.45,recommend_3arm
1111,balanced,4,1,1,1,1,2,2,2,38.19,5.37,27.45,1.0594,2.12,25.33,recommend_3arm
1111,balanced,4,1,1,1,1,2,2,4,38.19,5.37,27.45,1.0594,4.24,23.21,recommend_3arm
